"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"J7","FH52E15S05SH99","42838.55mil","43631.445mil","42838.55mil","43649.142mil","42976.345mil","43542.37mil","B","360.00","FH52E-15S-0.5SH_99_"
"J6","FH52E15S05SH99","43998.015mil","42759.37mil","44015.712mil","42759.37mil","43908.94mil","42621.575mil","B","270.00","FH52E-15S-0.5SH_99_"
"J5","CON-Molex-047346-0001","40742.101mil","41347.758mil","40742.101mil","41350.396mil","40793.282mil","41400.12mil","B","90.00","Molex 47346-0001"
"J4","DC_SOCKET","43986.457mil","41661.26mil","43890mil","41240mil","43890mil","41779.37mil","T","90.00","MJ-179PH"
"J3","WE_7499110124","40592.49mil","41889.77mil","40592.49mil","41889.77mil","40817.49mil","41869.691mil","T","180.00","WE_7499110124"
"J2","2129320-3","42627.99mil","41526.62mil","42627.99mil","41526.62mil","42521.691mil","41533.51mil","T","0.00","2129320-3"
"J1","WE_685119136923","41474.442mil","41413.428mil","41474.442mil","41380.948mil","41616.175mil","41522.68mil","T","360.00","685119136923"
"IC18","SON-15","41505.62mil","41795.28mil","41505.62mil","41795.28mil","41613.888mil","41831.697mil","T","360.00","TPD8S009"
"IC17","SOT23-5","43118.82mil","42390.46mil","43118.82mil","42390.46mil","43164.096mil","42353.058mil","T","180.00","AT24CS01-ST"
"IC16","TSOP-6","41703.81mil","42205.48mil","41703.81mil","42205.48mil","41741.212mil","42248.787mil","T","270.00","NCP380HSNAJAAT1G"
"IC15","SC70-5","43068.821mil","41610.463mil","43043.23mil","41567.156mil","43043.23mil","41567.156mil","T","90.00","TLV70018DCKT"
"IC14","TSSOP-16","43209.93mil","42188.34mil","43209.93mil","42188.34mil","43097.725mil","42277.907mil","T","0.00","PCA9500PW"
"IC13","R-PDSO-G5","42783.82mil","42330.47mil","42783.82mil","42330.47mil","42821.222mil","42304.879mil","T","180.00","SN74LVC1G126DCKR"
"IC12","TSSOP-14","42544.82mil","42452.33mil","42544.82mil","42452.33mil","42432.615mil","42529.102mil","T","0.00","74HC00PW"
"IC11","SC70-5","42322.27mil","41598.773mil","42296.68mil","41555.466mil","42296.68mil","41555.466mil","T","90.00","SN74LV1T125DCKR"
"IC10","TPS62823","43470.96mil","41789.47mil","43470.96mil","41789.47mil","43441.432mil","41762.895mil","T","90.00","TPS62823DLCT"
"IC9","SOT23-5N","43485.54mil","42484.62mil","43485.54mil","42484.62mil","43448.138mil","42439.344mil","T","90.00","LM3671MF-3.3"
"IC8","SOT23-5N","44001.82mil","42530.61mil","44001.82mil","42530.61mil","44039.222mil","42575.886mil","T","270.00","LM3671MF-3.3"
"IC7","RNH0030A","42100.11mil","42078.938mil","42100.11mil","42078.84mil","42170.976mil","42127.265mil","T","270.00","HD3SS3220"
"IC6","MSOP-8","41788.82mil","41645.47mil","41788.82mil","41645.47mil","41827.206mil","41729.131mil","T","270.00","PCA9517ADP"
"IC5","QFN-32","43144.68mil","41826.47mil","43144.68mil","41826.47mil","43047.239mil","41895.368mil","T","0.00","FT232RQ"
"IC4","SC70-5","41274.09mil","42216.163mil","41299.681mil","42259.47mil","41299.681mil","42259.47mil","T","270.00","TLV70018DCKT"
